mood,track_name,artist,track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
sad,changes,XXXTENTACION,7AFASza1mXqntmGtbxXprO,0.883,0.669,0.308,0,11,0.0984,-10.068,1,0.029,64.934,4,0.52
sad,Good Things Fall Apart vs. Sad Songs (With Said The Sky feat. Annika Wells),ILLENIUM,2DqhE7xzpGNsKYbptqblJg,0.11,0.563,0.555,1.02E-06,2,0.108,-5.429,1,0.0288,144.336,4,0.267
sad,Dancing On My Own,Calum Scott,2BOqDYLOJBiMOXShCV1neZ,0.837,0.681,0.174,3.35E-05,1,0.0983,-8.745,1,0.0315,112.672,4,0.231
sad,A Drop In The Ocean,Ron Pope,5JDcQAztvZTIkrWoZihgvC,0.785,0.447,0.393,0,5,0.28,-8.65,1,0.038,73.139,3,0.564
sad,Falling,Harry Styles,1ZMiCix7XSAbfAJlEZWMCp,0.839,0.567,0.267,1.46E-06,4,0.089,-6.502,1,0.0299,110.011,4,0.0592
sad,Talking to the Moon,Bruno Mars,161DnLWsx1i3u1JT05lzqU,0.511,0.498,0.59,0,1,0.107,-4.721,0,0.032,145.867,4,0.0784
sad,When I Was Your Man,Bruno Mars,0nJW01T7XtvILxQgC5J7Wh,0.932,0.612,0.28,0,0,0.088,-8.648,1,0.0434,72.795,4,0.387
sad,It Will Rain,Various Artists,0RUGuh2uSNFJpGMSsD1F5C,0.337,0.576,0.835,0,2,0.082,-6.826,1,0.0486,150.017,4,0.476
sad,Shallow,Lady Gaga,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,0.385,0,7,0.231,-6.362,1,0.0308,95.799,4,0.323
sad,That Should Be Me,Justin Bieber,0aPZbnkMoWJaJ5CNVLCj8S,0.199,0.552,0.603,0,8,0.151,-5.71,1,0.0334,139.908,4,0.231
sad,SUGAR,BROCKHAMPTON,6U0FIYXCQ3TGrk4tFpLrEA,0.449,0.453,0.538,0,1,0.19,-8.212,1,0.0638,122.973,4,0.516
sad,Hallucinogenics,Matt Maeson,6bLU8e0LGyztE9iD5DWBQ1,0.457,0.549,0.653,0,0,0.0969,-7.47,1,0.0503,121.348,4,0.287
sad,ghostin,Ariana Grande,2vdBo4ALPYbHRUPKgtE5iC,0.418,0.287,0.364,1.80E-05,9,0.185,-8.295,1,0.0306,103.777,4,0.11
